0,1,2,3,4
10,Ana,ana@gmail.com,4500.0,Analista
11,Kaio,ana@gmail.com,3500.0,Estagiário
12,Felipe,ana@gmail.com,1500.0,Menor Aprendiz
13,Bernardo,ana@gmail.com,9500.0,Coordenador
14,Ana,ana@gmail.com,4500.0,Analista
15,Kaio,kaka@gmail.com,3500.0,Estagiário
16,Felipe,fe@gmail.com,1500.0,Menor Ap.
17,Bernardo,ber@gmail.com,9500.0,Coordenador
18,Ana,ana@gmail.com,4500.0,Analista
19,Kaio,kaka@gmail.com,3500.0,Estagiário
20,Felipe,fe@gmail.com,1500.0,Menor Ap.
21,Bernardo,ber@gmail.com,9500.0,Coordenador
22,Ana,ana@gmail.com,4500.0,Analista
23,Kaio,kaka@gmail.com,3500.0,Estagiário
24,Felipe,fe@gmail.com,1500.0,Menor Ap.
25,Bernardo,ber@gmail.com,9500.0,Coordenador
